frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,label,sign,dynamic
763,26.0,47.0,34.0,20.0,40.0,6.0,6.0,1.0
764,25.0,46.0,33.0,20.0,39.0,6.0,6.0,1.0
765,26.0,47.0,35.0,22.0,40.0,6.0,6.0,1.0
766,26.0,46.0,36.0,22.0,40.0,6.0,6.0,1.0
767,27.0,47.0,38.0,23.0,42.0,6.0,6.0,1.0
768,26.0,46.0,37.0,22.0,40.0,6.0,6.0,1.0
769,27.0,48.0,40.0,27.0,45.0,6.0,6.0,1.0
770,26.0,48.0,40.0,27.0,45.0,6.0,6.0,1.0
771,26.0,48.0,41.0,26.0,43.0,6.0,6.0,1.0
772,25.0,48.0,40.0,29.0,47.0,6.0,6.0,1.0
773,27.0,49.0,41.0,30.0,47.0,6.0,6.0,1.0
774,26.0,50.0,44.0,31.0,48.0,6.0,6.0,1.0
775,31.0,44.0,42.0,34.0,38.0,6.0,6.0,1.0
776,29.0,56.0,52.0,37.0,52.0,6.0,6.0,1.0
777,27.0,56.0,53.0,37.0,50.0,6.0,6.0,1.0
778,30.0,57.0,56.0,43.0,53.0,6.0,6.0,1.0
779,31.0,58.0,58.0,46.0,55.0,6.0,6.0,1.0
780,30.0,63.0,65.0,55.0,61.0,6.0,6.0,1.0
781,31.0,61.0,63.0,53.0,58.0,6.0,6.0,1.0
782,32.0,68.0,74.0,67.0,68.0,6.0,6.0,1.0
783,33.0,77.0,79.0,74.0,74.0,6.0,6.0,1.0
784,33.0,88.0,89.0,87.0,84.0,6.0,6.0,1.0
785,36.0,83.0,86.0,82.0,78.0,6.0,6.0,1.0
786,35.0,102.0,95.0,94.0,91.0,6.0,6.0,1.0
787,36.0,101.0,95.0,92.0,87.0,6.0,6.0,1.0
788,35.0,105.0,101.0,102.0,97.0,6.0,6.0,1.0
789,36.0,107.0,104.0,105.0,100.0,6.0,6.0,1.0
790,33.0,105.0,104.0,101.0,98.0,6.0,6.0,1.0
791,34.0,107.0,104.0,103.0,98.0,6.0,6.0,1.0
792,32.0,108.0,106.0,106.0,100.0,6.0,6.0,1.0
793,32.0,106.0,103.0,101.0,96.0,6.0,6.0,1.0
794,33.0,107.0,104.0,105.0,99.0,6.0,6.0,1.0
795,33.0,108.0,106.0,106.0,100.0,6.0,6.0,1.0
796,32.0,108.0,106.0,107.0,100.0,6.0,6.0,1.0
797,32.0,109.0,106.0,107.0,102.0,6.0,6.0,1.0
798,32.0,110.0,109.0,109.0,103.0,6.0,6.0,1.0
799,33.0,109.0,108.0,109.0,103.0,6.0,6.0,1.0
800,33.0,109.0,107.0,108.0,104.0,6.0,6.0,1.0
801,32.0,109.0,107.0,108.0,104.0,6.0,6.0,1.0
802,32.0,108.0,106.0,106.0,101.0,6.0,6.0,1.0
803,32.0,109.0,106.0,106.0,102.0,6.0,6.0,1.0
804,32.0,107.0,105.0,106.0,101.0,6.0,6.0,1.0
805,33.0,108.0,105.0,106.0,102.0,6.0,6.0,1.0
806,35.0,108.0,107.0,109.0,105.0,6.0,6.0,1.0
807,33.0,106.0,105.0,107.0,101.0,6.0,6.0,1.0
808,33.0,109.0,106.0,108.0,104.0,6.0,6.0,1.0
809,32.0,107.0,105.0,106.0,103.0,6.0,6.0,1.0
810,33.0,109.0,107.0,108.0,102.0,6.0,6.0,1.0
811,32.0,107.0,106.0,108.0,102.0,6.0,6.0,1.0
812,33.0,110.0,107.0,110.0,104.0,6.0,6.0,1.0
813,32.0,108.0,105.0,107.0,103.0,6.0,6.0,1.0
814,33.0,109.0,105.0,108.0,104.0,6.0,6.0,1.0
815,32.0,109.0,105.0,108.0,104.0,6.0,6.0,1.0
816,33.0,108.0,104.0,108.0,104.0,6.0,6.0,1.0
817,32.0,108.0,104.0,107.0,103.0,6.0,6.0,1.0
818,32.0,109.0,104.0,107.0,103.0,6.0,6.0,1.0
819,32.0,109.0,104.0,107.0,103.0,6.0,6.0,1.0
820,33.0,109.0,104.0,107.0,103.0,6.0,6.0,1.0
821,32.0,109.0,104.0,107.0,103.0,6.0,6.0,1.0
822,32.0,110.0,104.0,108.0,103.0,6.0,6.0,1.0
823,32.0,109.0,104.0,107.0,103.0,6.0,6.0,1.0
824,32.0,108.0,104.0,107.0,104.0,6.0,6.0,1.0
825,31.0,109.0,104.0,107.0,104.0,6.0,6.0,1.0
826,32.0,109.0,106.0,109.0,107.0,6.0,6.0,1.0
851,26.0,48.0,138.0,153.0,88.0,7.0,7.0,
852,25.0,49.0,138.0,153.0,87.0,7.0,7.0,
853,25.0,49.0,139.0,154.0,88.0,7.0,7.0,
854,25.0,46.0,137.0,154.0,87.0,7.0,7.0,
855,25.0,49.0,138.0,154.0,89.0,7.0,7.0,
856,26.0,49.0,137.0,153.0,90.0,7.0,7.0,
857,25.0,47.0,138.0,154.0,88.0,7.0,7.0,
858,25.0,46.0,137.0,154.0,86.0,7.0,7.0,
859,27.0,43.0,135.0,153.0,89.0,7.0,7.0,
860,26.0,48.0,138.0,153.0,88.0,7.0,7.0,
861,25.0,50.0,138.0,153.0,88.0,7.0,7.0,
862,28.0,43.0,137.0,154.0,88.0,7.0,7.0,
863,25.0,49.0,137.0,153.0,87.0,7.0,7.0,
864,26.0,46.0,135.0,152.0,89.0,7.0,7.0,
865,26.0,49.0,138.0,153.0,88.0,7.0,7.0,
866,25.0,46.0,137.0,153.0,87.0,7.0,7.0,
867,26.0,47.0,137.0,153.0,88.0,7.0,7.0,
868,26.0,44.0,135.0,153.0,88.0,7.0,7.0,
869,26.0,45.0,136.0,153.0,89.0,7.0,7.0,
870,25.0,46.0,136.0,153.0,87.0,7.0,7.0,
871,26.0,43.0,134.0,152.0,89.0,7.0,7.0,
872,26.0,46.0,136.0,153.0,88.0,7.0,7.0,
873,26.0,47.0,136.0,153.0,88.0,7.0,7.0,
874,25.0,48.0,137.0,153.0,88.0,7.0,7.0,
875,26.0,47.0,137.0,154.0,88.0,7.0,7.0,
876,26.0,44.0,137.0,153.0,88.0,7.0,7.0,
877,25.0,45.0,135.0,152.0,86.0,7.0,7.0,
878,26.0,42.0,134.0,150.0,89.0,7.0,7.0,
879,25.0,42.0,135.0,152.0,86.0,7.0,7.0,
880,26.0,44.0,137.0,153.0,89.0,7.0,7.0,
881,26.0,44.0,135.0,152.0,87.0,7.0,7.0,
882,27.0,41.0,136.0,151.0,89.0,7.0,7.0,
883,26.0,43.0,134.0,151.0,86.0,7.0,7.0,
884,27.0,42.0,138.0,153.0,88.0,7.0,7.0,
885,26.0,42.0,137.0,152.0,88.0,7.0,7.0,
886,26.0,43.0,136.0,152.0,88.0,7.0,7.0,
887,28.0,40.0,137.0,151.0,90.0,7.0,7.0,
888,26.0,42.0,136.0,152.0,89.0,7.0,7.0,
889,26.0,43.0,138.0,153.0,87.0,7.0,7.0,
890,26.0,42.0,136.0,153.0,88.0,7.0,7.0,
891,27.0,42.0,135.0,151.0,89.0,7.0,7.0,
892,27.0,41.0,137.0,152.0,90.0,7.0,7.0,
893,25.0,40.0,138.0,152.0,87.0,7.0,7.0,
894,26.0,41.0,135.0,152.0,87.0,7.0,7.0,
895,26.0,41.0,135.0,150.0,90.0,7.0,7.0,
896,27.0,40.0,138.0,153.0,88.0,7.0,7.0,
897,25.0,40.0,138.0,154.0,86.0,7.0,7.0,
898,26.0,40.0,135.0,151.0,89.0,7.0,7.0,
899,27.0,40.0,135.0,150.0,90.0,7.0,7.0,
900,26.0,40.0,137.0,152.0,88.0,7.0,7.0,
901,25.0,45.0,137.0,153.0,89.0,7.0,7.0,
902,27.0,38.0,139.0,152.0,89.0,7.0,7.0,
903,26.0,41.0,136.0,152.0,86.0,7.0,7.0,
904,27.0,39.0,136.0,151.0,89.0,7.0,7.0,
905,26.0,39.0,137.0,152.0,88.0,7.0,7.0,
906,25.0,41.0,135.0,152.0,87.0,7.0,7.0,
907,26.0,39.0,137.0,151.0,89.0,7.0,7.0,
908,26.0,40.0,136.0,151.0,88.0,7.0,7.0,
909,25.0,41.0,135.0,152.0,87.0,7.0,7.0,
910,27.0,40.0,137.0,151.0,90.0,7.0,7.0,
911,26.0,40.0,135.0,151.0,87.0,7.0,7.0,
912,25.0,42.0,135.0,151.0,87.0,7.0,7.0,
913,26.0,40.0,137.0,150.0,90.0,7.0,7.0,
914,26.0,41.0,138.0,152.0,88.0,7.0,7.0,
915,26.0,44.0,138.0,154.0,87.0,7.0,7.0,
916,25.0,42.0,136.0,151.0,89.0,7.0,7.0,
917,26.0,40.0,139.0,153.0,88.0,7.0,7.0,
918,24.0,41.0,136.0,152.0,86.0,7.0,7.0,
919,26.0,43.0,137.0,152.0,89.0,7.0,7.0,
920,27.0,40.0,137.0,151.0,90.0,7.0,7.0,
921,25.0,40.0,136.0,151.0,87.0,7.0,7.0,
922,25.0,42.0,135.0,151.0,88.0,7.0,7.0,
923,26.0,39.0,138.0,151.0,88.0,7.0,7.0,
924,26.0,40.0,136.0,152.0,88.0,7.0,7.0,
935,24.0,33.0,134.0,151.0,86.0,8.0,8.0,1.0
936,26.0,34.0,136.0,151.0,88.0,8.0,8.0,1.0
937,25.0,29.0,133.0,149.0,86.0,8.0,8.0,1.0
938,26.0,27.0,138.0,151.0,85.0,8.0,8.0,1.0
939,26.0,27.0,136.0,149.0,86.0,8.0,8.0,1.0
940,26.0,30.0,138.0,149.0,86.0,8.0,8.0,1.0
941,27.0,29.0,138.0,148.0,84.0,8.0,8.0,1.0
942,25.0,29.0,135.0,146.0,84.0,8.0,8.0,1.0
943,26.0,29.0,137.0,148.0,85.0,8.0,8.0,1.0
