frame,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,sign,sign_character,dynamic
696,29.0,82.0,76.0,69.0,65.0,5.0,I,
697,34.0,93.0,85.0,83.0,78.0,5.0,I,
698,28.0,79.0,76.0,70.0,65.0,5.0,I,
699,32.0,85.0,82.0,76.0,71.0,5.0,I,
700,29.0,80.0,75.0,67.0,62.0,5.0,I,
701,34.0,89.0,84.0,82.0,78.0,5.0,I,
702,28.0,83.0,79.0,73.0,67.0,5.0,I,
703,35.0,91.0,88.0,86.0,81.0,5.0,I,
704,27.0,85.0,81.0,74.0,66.0,5.0,I,
705,33.0,92.0,89.0,90.0,85.0,5.0,I,
706,28.0,89.0,83.0,78.0,69.0,5.0,I,
707,34.0,94.0,89.0,88.0,82.0,5.0,I,
708,28.0,91.0,82.0,77.0,71.0,5.0,I,
709,34.0,96.0,90.0,93.0,85.0,5.0,I,
710,28.0,92.0,82.0,76.0,72.0,5.0,I,
711,34.0,95.0,87.0,86.0,80.0,5.0,I,
712,28.0,92.0,83.0,77.0,70.0,5.0,I,
713,34.0,90.0,84.0,82.0,76.0,5.0,I,
714,27.0,81.0,76.0,67.0,62.0,5.0,I,
715,31.0,90.0,85.0,81.0,78.0,5.0,I,
716,27.0,86.0,80.0,71.0,65.0,5.0,I,
717,32.0,85.0,83.0,81.0,80.0,5.0,I,
718,27.0,93.0,85.0,81.0,70.0,5.0,I,
719,34.0,86.0,84.0,79.0,76.0,5.0,I,
749,25.0,44.0,31.0,19.0,42.0,6.0,IEE,1.0
750,26.0,43.0,30.0,18.0,41.0,6.0,IEE,1.0
751,26.0,44.0,31.0,18.0,40.0,6.0,IEE,1.0
752,26.0,43.0,30.0,19.0,40.0,6.0,IEE,1.0
753,26.0,43.0,30.0,18.0,39.0,6.0,IEE,1.0
754,27.0,43.0,28.0,15.0,36.0,6.0,IEE,1.0
755,25.0,46.0,31.0,16.0,36.0,6.0,IEE,1.0
756,27.0,42.0,28.0,14.0,34.0,6.0,IEE,1.0
757,25.0,45.0,30.0,16.0,36.0,6.0,IEE,1.0
758,26.0,43.0,28.0,15.0,34.0,6.0,IEE,1.0
759,25.0,47.0,31.0,16.0,37.0,6.0,IEE,1.0
760,26.0,46.0,30.0,16.0,36.0,6.0,IEE,1.0
761,26.0,48.0,33.0,17.0,38.0,6.0,IEE,1.0
762,26.0,47.0,32.0,17.0,37.0,6.0,IEE,1.0
763,26.0,47.0,34.0,20.0,40.0,6.0,IEE,1.0
764,25.0,46.0,33.0,20.0,39.0,6.0,IEE,1.0
765,26.0,47.0,35.0,22.0,40.0,6.0,IEE,1.0
766,26.0,46.0,36.0,22.0,40.0,6.0,IEE,1.0
767,27.0,47.0,38.0,23.0,42.0,6.0,IEE,1.0
768,26.0,46.0,37.0,22.0,40.0,6.0,IEE,1.0
769,27.0,48.0,40.0,27.0,45.0,6.0,IEE,1.0
770,26.0,48.0,40.0,27.0,45.0,6.0,IEE,1.0
771,26.0,48.0,41.0,26.0,43.0,6.0,IEE,1.0
772,25.0,48.0,40.0,29.0,47.0,6.0,IEE,1.0
773,27.0,49.0,41.0,30.0,47.0,6.0,IEE,1.0
774,26.0,50.0,44.0,31.0,48.0,6.0,IEE,1.0
775,31.0,44.0,42.0,34.0,38.0,6.0,IEE,1.0
776,29.0,56.0,52.0,37.0,52.0,6.0,IEE,1.0
777,27.0,56.0,53.0,37.0,50.0,6.0,IEE,1.0
778,30.0,57.0,56.0,43.0,53.0,6.0,IEE,1.0
779,31.0,58.0,58.0,46.0,55.0,6.0,IEE,1.0
780,30.0,63.0,65.0,55.0,61.0,6.0,IEE,1.0
781,31.0,61.0,63.0,53.0,58.0,6.0,IEE,1.0
782,32.0,68.0,74.0,67.0,68.0,6.0,IEE,1.0
783,33.0,77.0,79.0,74.0,74.0,6.0,IEE,1.0
784,33.0,88.0,89.0,87.0,84.0,6.0,IEE,1.0
785,36.0,83.0,86.0,82.0,78.0,6.0,IEE,1.0
786,35.0,102.0,95.0,94.0,91.0,6.0,IEE,1.0
787,36.0,101.0,95.0,92.0,87.0,6.0,IEE,1.0
788,35.0,105.0,101.0,102.0,97.0,6.0,IEE,1.0
789,36.0,107.0,104.0,105.0,100.0,6.0,IEE,1.0
790,33.0,105.0,104.0,101.0,98.0,6.0,IEE,1.0
791,34.0,107.0,104.0,103.0,98.0,6.0,IEE,1.0
792,32.0,108.0,106.0,106.0,100.0,6.0,IEE,1.0
793,32.0,106.0,103.0,101.0,96.0,6.0,IEE,1.0
794,33.0,107.0,104.0,105.0,99.0,6.0,IEE,1.0
795,33.0,108.0,106.0,106.0,100.0,6.0,IEE,1.0
796,32.0,108.0,106.0,107.0,100.0,6.0,IEE,1.0
797,32.0,109.0,106.0,107.0,102.0,6.0,IEE,1.0
798,32.0,110.0,109.0,109.0,103.0,6.0,IEE,1.0
799,33.0,109.0,108.0,109.0,103.0,6.0,IEE,1.0
800,33.0,109.0,107.0,108.0,104.0,6.0,IEE,1.0
801,32.0,109.0,107.0,108.0,104.0,6.0,IEE,1.0
802,32.0,108.0,106.0,106.0,101.0,6.0,IEE,1.0
803,32.0,109.0,106.0,106.0,102.0,6.0,IEE,1.0
804,32.0,107.0,105.0,106.0,101.0,6.0,IEE,1.0
805,33.0,108.0,105.0,106.0,102.0,6.0,IEE,1.0
806,35.0,108.0,107.0,109.0,105.0,6.0,IEE,1.0
807,33.0,106.0,105.0,107.0,101.0,6.0,IEE,1.0
808,33.0,109.0,106.0,108.0,104.0,6.0,IEE,1.0
809,32.0,107.0,105.0,106.0,103.0,6.0,IEE,1.0
839,27.0,42.0,137.0,155.0,88.0,7.0,U,
840,26.0,42.0,135.0,152.0,86.0,7.0,U,
841,26.0,44.0,137.0,154.0,89.0,7.0,U,
842,24.0,43.0,134.0,153.0,86.0,7.0,U,
843,24.0,47.0,138.0,155.0,88.0,7.0,U,
844,24.0,46.0,135.0,153.0,87.0,7.0,U,
845,26.0,44.0,137.0,155.0,88.0,7.0,U,
846,24.0,47.0,135.0,152.0,88.0,7.0,U,
847,27.0,45.0,137.0,155.0,88.0,7.0,U,
848,26.0,46.0,136.0,153.0,87.0,7.0,U,
849,25.0,47.0,135.0,153.0,88.0,7.0,U,
850,26.0,47.0,137.0,154.0,88.0,7.0,U,
851,26.0,48.0,138.0,153.0,88.0,7.0,U,
852,25.0,49.0,138.0,153.0,87.0,7.0,U,
853,25.0,49.0,139.0,154.0,88.0,7.0,U,
854,25.0,46.0,137.0,154.0,87.0,7.0,U,
855,25.0,49.0,138.0,154.0,89.0,7.0,U,
856,26.0,49.0,137.0,153.0,90.0,7.0,U,
857,25.0,47.0,138.0,154.0,88.0,7.0,U,
858,25.0,46.0,137.0,154.0,86.0,7.0,U,
859,27.0,43.0,135.0,153.0,89.0,7.0,U,
860,26.0,48.0,138.0,153.0,88.0,7.0,U,
861,25.0,50.0,138.0,153.0,88.0,7.0,U,
862,28.0,43.0,137.0,154.0,88.0,7.0,U,
863,25.0,49.0,137.0,153.0,87.0,7.0,U,
864,26.0,46.0,135.0,152.0,89.0,7.0,U,
865,26.0,49.0,138.0,153.0,88.0,7.0,U,
866,25.0,46.0,137.0,153.0,87.0,7.0,U,
867,26.0,47.0,137.0,153.0,88.0,7.0,U,
868,26.0,44.0,135.0,153.0,88.0,7.0,U,
869,26.0,45.0,136.0,153.0,89.0,7.0,U,
870,25.0,46.0,136.0,153.0,87.0,7.0,U,
871,26.0,43.0,134.0,152.0,89.0,7.0,U,
872,26.0,46.0,136.0,153.0,88.0,7.0,U,
873,26.0,47.0,136.0,153.0,88.0,7.0,U,
874,25.0,48.0,137.0,153.0,88.0,7.0,U,
875,26.0,47.0,137.0,154.0,88.0,7.0,U,
876,26.0,44.0,137.0,153.0,88.0,7.0,U,
877,25.0,45.0,135.0,152.0,86.0,7.0,U,
878,26.0,42.0,134.0,150.0,89.0,7.0,U,
879,25.0,42.0,135.0,152.0,86.0,7.0,U,
880,26.0,44.0,137.0,153.0,89.0,7.0,U,
881,26.0,44.0,135.0,152.0,87.0,7.0,U,
882,27.0,41.0,136.0,151.0,89.0,7.0,U,
883,26.0,43.0,134.0,151.0,86.0,7.0,U,
884,27.0,42.0,138.0,153.0,88.0,7.0,U,
885,26.0,42.0,137.0,152.0,88.0,7.0,U,
886,26.0,43.0,136.0,152.0,88.0,7.0,U,
887,28.0,40.0,137.0,151.0,90.0,7.0,U,
888,26.0,42.0,136.0,152.0,89.0,7.0,U,
889,26.0,43.0,138.0,153.0,87.0,7.0,U,
890,26.0,42.0,136.0,153.0,88.0,7.0,U,
891,27.0,42.0,135.0,151.0,89.0,7.0,U,
892,27.0,41.0,137.0,152.0,90.0,7.0,U,
893,25.0,40.0,138.0,152.0,87.0,7.0,U,
894,26.0,41.0,135.0,152.0,87.0,7.0,U,
895,26.0,41.0,135.0,150.0,90.0,7.0,U,
896,27.0,40.0,138.0,153.0,88.0,7.0,U,
897,25.0,40.0,138.0,154.0,86.0,7.0,U,
898,26.0,40.0,135.0,151.0,89.0,7.0,U,
899,27.0,40.0,135.0,150.0,90.0,7.0,U,
929,25.0,39.0,137.0,153.0,88.0,8.0,UU,1.0
930,26.0,40.0,137.0,153.0,87.0,8.0,UU,1.0
931,27.0,37.0,135.0,151.0,87.0,8.0,UU,1.0
932,26.0,36.0,135.0,150.0,87.0,8.0,UU,1.0
933,26.0,34.0,136.0,150.0,88.0,8.0,UU,1.0
934,25.0,33.0,136.0,152.0,87.0,8.0,UU,1.0
935,24.0,33.0,134.0,151.0,86.0,8.0,UU,1.0
936,26.0,34.0,136.0,151.0,88.0,8.0,UU,1.0
937,25.0,29.0,133.0,149.0,86.0,8.0,UU,1.0
938,26.0,27.0,138.0,151.0,85.0,8.0,UU,1.0
939,26.0,27.0,136.0,149.0,86.0,8.0,UU,1.0
940,26.0,30.0,138.0,149.0,86.0,8.0,UU,1.0
941,27.0,29.0,138.0,148.0,84.0,8.0,UU,1.0
942,25.0,29.0,135.0,146.0,84.0,8.0,UU,1.0
943,26.0,29.0,137.0,148.0,85.0,8.0,UU,1.0
944,27.0,32.0,137.0,147.0,84.0,8.0,UU,1.0
945,25.0,26.0,132.0,145.0,84.0,8.0,UU,1.0
946,26.0,36.0,135.0,142.0,81.0,8.0,UU,1.0
947,26.0,36.0,131.0,139.0,82.0,8.0,UU,1.0
948,28.0,39.0,131.0,134.0,84.0,8.0,UU,1.0
949,26.0,39.0,133.0,138.0,81.0,8.0,UU,1.0
950,29.0,39.0,130.0,136.0,85.0,8.0,UU,1.0
951,28.0,39.0,133.0,137.0,82.0,8.0,UU,1.0
952,28.0,43.0,130.0,136.0,85.0,8.0,UU,1.0
953,28.0,43.0,127.0,133.0,82.0,8.0,UU,1.0
954,28.0,49.0,134.0,139.0,83.0,8.0,UU,1.0
955,29.0,44.0,132.0,139.0,83.0,8.0,UU,1.0
956,30.0,48.0,127.0,134.0,84.0,8.0,UU,1.0
957,28.0,51.0,131.0,138.0,84.0,8.0,UU,1.0
